"V1","V2","V3","V4","V5"
"19880719",1200,-1400,7,"YSI"
"19880719",1200,-1300,8,"YSI"
"19880719",1200,-1200,9,"YSI"
"19880719",1200,-1100,10,"YSI"
"19880719",1200,-1000,12,"YSI"
"19880719",1200,-900,13,"YSI"
"19880719",1200,-800,16,"YSI"
"19880719",1200,-700,18,"YSI"
"19880719",1200,-600,19,"YSI"
"19880719",1200,-500,19.5,"YSI"
"19880719",1200,-400,21,"YSI"
"19880719",1200,-300,21,"YSI"
"19880719",1200,-200,21.5,"YSI"
"19880719",1200,-100,21.5,"YSI"
"19880719",1200,0,21,"YSI"
"19880726",1200,-2200,4,"YSI"
"19880726",1200,-2100,4,"YSI"
"19880726",1200,-2000,4,"YSI"
"19880726",1200,-1900,4,"YSI"
"19880726",1200,-1800,5,"YSI"
"19880726",1200,-1700,5.5,"YSI"
"19880726",1200,-1600,6,"YSI"
"19880726",1200,-1500,7,"YSI"
"19880726",1200,-1400,8,"YSI"
"19880726",1200,-1300,9,"YSI"
"19880726",1200,-1200,10,"YSI"
"19880726",1200,-1100,11.5,"YSI"
"19880726",1200,-1000,13,"YSI"
"19880726",1200,-900,15.5,"YSI"
"19880726",1200,-800,18,"YSI"
"19880726",1200,-700,19,"YSI"
"19880726",1200,-600,19,"YSI"
"19880726",1200,-500,19.5,"YSI"
"19880726",1200,-400,20,"YSI"
"19880726",1200,-300,20,"YSI"
"19880726",1200,-200,20,"YSI"
"19880726",1200,-100,20,"YSI"
"19880726",1200,0,20,"YSI"
"19880802",1200,-2200,4,"YSI"
"19880802",1200,-2100,4,"YSI"
"19880802",1200,-2000,4,"YSI"
"19880802",1200,-1900,4.5,"YSI"
"19880802",1200,-1800,4.5,"YSI"
"19880802",1200,-1700,4.5,"YSI"
"19880802",1200,-1600,5,"YSI"
"19880802",1200,-1500,6,"YSI"
"19880802",1200,-1400,7,"YSI"
"19880802",1200,-1300,8,"YSI"
"19880802",1200,-1200,9,"YSI"
"19880802",1200,-1100,11,"YSI"
"19880802",1200,-1000,12.5,"YSI"
"19880802",1200,-900,15,"YSI"
"19880802",1200,-800,17,"YSI"
"19880802",1200,-700,20,"YSI"
"19880802",1200,-600,22,"YSI"
"19880802",1200,-500,23,"YSI"
"19880802",1200,-400,23,"YSI"
"19880802",1200,-300,23.5,"YSI"
"19880802",1200,-200,23.5,"YSI"
"19880802",1200,-100,23.5,"YSI"
"19880802",1200,0,24,"YSI"
"19890606",1200,-2200,7.5,"YSI"
"19890606",1200,-2100,7.5,"YSI"
"19890606",1200,-2000,7.6,"YSI"
"19890606",1200,-1900,7.8,"YSI"
"19890606",1200,-1800,7.9,"YSI"
"19890606",1200,-1700,8,"YSI"
"19890606",1200,-1600,8.3,"YSI"
"19890606",1200,-1500,8.5,"YSI"
"19890606",1200,-1400,8.7,"YSI"
"19890606",1200,-1300,9.1,"YSI"
"19890606",1200,-1200,9.5,"YSI"
"19890606",1200,-1100,10.3,"YSI"
"19890606",1200,-1000,11,"YSI"
"19890606",1200,-900,11.6,"YSI"
"19890606",1200,-800,12.4,"YSI"
"19890606",1200,-700,13,"YSI"
"19890606",1200,-600,13.8,"YSI"
"19890606",1200,-500,15.3,"YSI"
"19890606",1200,-400,17.9,"YSI"
"19890606",1200,-300,19.4,"YSI"
"19890606",1200,-200,19.4,"YSI"
"19890606",1200,-100,19.3,"YSI"
"19890606",1200,0,19.1,"YSI"
"19890620",1200,-2200,7.8,"YSI"
"19890620",1200,-2100,7.8,"YSI"
"19890620",1200,-2000,7.9,"YSI"
"19890620",1200,-1900,7.9,"YSI"
"19890620",1200,-1800,8,"YSI"
"19890620",1200,-1700,8.2,"YSI"
"19890620",1200,-1600,8.3,"YSI"
"19890620",1200,-1500,8.7,"YSI"
"19890620",1200,-1400,9,"YSI"
"19890620",1200,-1300,9.5,"YSI"
"19890620",1200,-1200,10.1,"YSI"
"19890620",1200,-1100,10.9,"YSI"
"19890620",1200,-1000,11.6,"YSI"
"19890620",1200,-900,12.4,"YSI"
"19890620",1200,-800,13.1,"YSI"
"19890620",1200,-700,14.3,"YSI"
"19890620",1200,-600,16.6,"YSI"
"19890620",1200,-500,18.2,"YSI"
"19890620",1200,-400,18.7,"YSI"
"19890620",1200,-300,19,"YSI"
"19890620",1200,-200,19.3,"YSI"
"19890620",1200,-100,20.2,"YSI"
"19890620",1200,0,20.2,"YSI"
"19890705",1200,-2300,8.3,"YSI"
"19890705",1200,-2200,8.3,"YSI"
"19890705",1200,-2100,8.3,"YSI"
"19890705",1200,-2000,8.4,"YSI"
"19890705",1200,-1900,8.6,"YSI"
