19880607,1200,-2200,5
19880607,1200,-2100,5
19880607,1200,-2000,5
19880607,1200,-1900,5
19880607,1200,-1800,5
19880607,1200,-1700,5.5
19880607,1200,-1600,6
19880607,1200,-1500,6
19880607,1200,-1400,6
19880607,1200,-1300,6.5
19880607,1200,-1200,7
19880607,1200,-1100,7
19880607,1200,-1000,8
19880607,1200,-900,8.5
19880607,1200,-800,9.5
19880607,1200,-700,10
19880607,1200,-600,14.5
19880607,1200,-500,15
19880607,1200,-400,15
19880607,1200,-300,15
19880607,1200,-200,15
19880607,1200,-100,15
19880607,1200,0,15
19880613,1200,-2200,5
19880613,1200,-2100,5.5
19880613,1200,-2000,6
19880613,1200,-1900,6
19880613,1200,-1800,6
19880613,1200,-1700,6
19880613,1200,-1600,6
19880613,1200,-1500,6.5
19880613,1200,-1400,7
19880613,1200,-1300,7
19880613,1200,-1200,7.5
19880613,1200,-1100,8
19880613,1200,-1000,9
19880613,1200,-900,10
19880613,1200,-800,11
19880613,1200,-700,12.5
19880613,1200,-600,15
19880613,1200,-500,15
19880613,1200,-400,14.5
19880613,1200,-300,15
19880613,1200,-200,15
19880613,1200,-100,15
19880613,1200,0,15
19880621,1200,-2200,4
19880621,1200,-2100,4
19880621,1200,-2000,4
19880621,1200,-1900,4
19880621,1200,-1800,4.5
19880621,1200,-1700,5
19880621,1200,-1600,5
19880621,1200,-1500,5
19880621,1200,-1400,5
19880621,1200,-1300,6
19880621,1200,-1200,7
19880621,1200,-1100,7
19880621,1200,-1000,8
19880621,1200,-900,9
19880621,1200,-800,11
19880621,1200,-700,13
19880621,1200,-600,15
19880621,1200,-500,16
19880621,1200,-400,17
19880621,1200,-300,18.5
19880621,1200,-200,19.5
19880621,1200,-100,19.5
19880621,1200,0,19.5
19880628,1200,-1400,8.5
19880628,1200,-1300,9
19880628,1200,-1200,10
19880628,1200,-1100,11
19880628,1200,-1000,12.5
19880628,1200,-900,13
19880628,1200,-800,14
19880628,1200,-700,16.5
19880628,1200,-600,19
19880628,1200,-500,20
19880628,1200,-400,20
19880628,1200,-300,20
19880628,1200,-200,20
19880628,1200,-100,20
19880628,1200,0,15
19880706,1200,-2200,4
19880706,1200,-2100,5
19880706,1200,-2000,5
19880706,1200,-1900,5
19880706,1200,-1800,5
19880706,1200,-1700,5
19880706,1200,-1600,6
19880706,1200,-1500,6.5
